key	dnsmos	duration
3dc/d6c47cc6f2868	2.5422110477747233	3.3445
3dd/363dfefa5bc50	2.5703219356224154	2.2918125
3de/f9dabac5ed347	3.1201841812183617	9.304125
3df/5549872d420df	3.1881536885687587	6.386375
3dc/4d6e1a709368c	1.0662839114628748	1.452625
3dd/ec03d82807462	3.226976616084883	5.1523125
3de/3018894936bfc	3.06950557024598	4.816375
3df/28e331106550a	1.645102391770351	2.91675
3dc/ffd8fb82efcec	3.0396534299674	22.4780625
3dd/f97fa9195fad2	3.2054217524832254	11.6729375
3de/279ef497333b6	3.186752210309428	9.8333125
3df/9de9e24b64be2	2.3844741032791497	2.88775
3dc/6ed7ca39bb5ea	2.5310047500241666	3.5375
3dd/017d1a7f90764	1.3184706154360106	3.33275
3de/538a124713fc9	3.337500828467056	19.591875
3df/667a8a9a6ed6f	3.0562348147862815	8.4745625
3dc/41ff2eba0d50d	3.137557390901603	1.4214375
3dd/6951d0285ce37	1.5435992893418773	4.175875
3de/fa0ff031e9ed7	3.006678232463472	6.214
3df/853b717683bc8	2.9520755650399937	1.1053125
3dc/95e6e98e784df	2.94842019146314	9.4729375
3dd/02c3512d3ac71	2.9950930897048047	6.57675
3de/602a933e6147d	3.2242927429846153	2.9071875
3df/a6dcbc99d2b47	2.2955939045163913	2.5809375
3dc/8853e33aced26	3.409983441020624	18.840625
3dd/8edfb9c4e06f8	2.405859195134838	2.484375
3de/632e8fb1436b3	3.2732430625319253	8.6791875
3df/c70042d234229	2.3401234584596087	1.3148125
3dc/f9342cb3054e4	1.4096029710889595	1.2976875
3dd/90d528d422f6a	2.2084334712596925	3.599625
3de/b23b88d23d4f8	2.1270764973640004	2.73825
3df/004fdbd5c28b4	2.462092056592604	5.8656875
3dc/d183e167c9bd5	2.7810434888937903	1.7241875
3dd/d26d960e1b3df	3.030830377400498	10.805
3de/73ce30ec8dd85	2.8728610175164193	11.4573125
3df/5f24740a41705	2.671248851552151	2.56825
3dc/a73f184095241	2.4495309765660425	9.2865625
3dd/9a2351231ee62	2.42032727906139	6.5499375
3de/d5b0869672e4a	3.0253454955004684	6.7700625
3df/b1543af8ef1b1	1.108533286094838	2.2700625
3dc/0863c560e0baa	3.382026072603384	7.9530625
3dd/1b4b7d48a9c7d	3.416388887019771	7.8795
3de/9572a822cae21	3.4937888300774484	6.297875
3df/6ca2dd88cca14	3.168018818877703	5.820625
3dc/623fca7690046	2.7465011993325734	3.160875
3dd/f399f3f4a717b	2.45173710099545	3.054625
3de/d7dd924d45920	3.127804244528274	5.4551875
3df/58c5ebe90d212	3.11143143390997	8.5316875
3dc/ecec32ce70d6f	3.358887437592464	14.6124375
3dd/784ec56de8a2b	2.8844672618273375	6.490625
3de/a611f80078894	2.079576076014428	1.68375
3df/55f5824cc9457	2.602491910058018	6.59925
3dc/598101ba13fa5	2.2683275273544306	1.6890625
3dd/b2e1adf2fa2e3	3.324387256207989	12.4649375
3de/93d4dd1361c78	3.0118826132127676	5.411875
3df/67d428dcbf7ea	1.47242429566612	1.2025
3dc/6a8bfc9d67933	2.9046107353107056	4.2328125
3dd/2a904db1629a6	3.078265365733288	5.2903125
3de/861aa478ef8a7	3.155556286123922	10.06625
3df/9e7552f2f342d	2.079029046371202	3.5419375
3dc/5c3beee7bec3d	3.378243758646376	8.9239375
3dd/d7bcfd1bae72f	3.245686510193065	5.091875
3de/1302ecb1b11bb	2.8775999588774863	4.8140625
3df/96922929c01c7	3.1372263298676963	3.89575
3dc/5511fadd13329	3.406367119253918	23.6133125
3dd/52a247250fe58	2.849994344805383	7.8588125
3de/876efe6412676	2.945909147417016	1.6008125
3df/18534cd118e71	2.048225348555353	1.441875
3dc/49efb7e0d6447	3.2010495343936967	12.2206875
3dd/8aeb40b0b5729	2.8463726962421982	3.7183125
3de/dbd512b1a7c05	3.117063835929209	9.873875
3df/6b87156d9cdce	1.3726292331864267	7.5309375
3dc/5cd4a1c550c8e	3.403570220167493	13.6701875
3dd/a637d56f512f9	2.6669977519404924	5.993625
3de/3ed2fe7510082	2.1000913983882783	0.7809375
3df/4e379e56eedf5	3.4959300464505167	17.1590625
3dc/9ca599093ac6d	2.722033938865962	2.1519375
3dd/caeb5517eb75e	3.1691738586034615	6.0881875
3de/24a742eb56b10	2.857016832504392	8.5905625
3df/5565dec31c067	1.1212191178251292	2.861875
3dc/b226bf7bf6c63	3.1160604264297107	4.9216875
3dd/1b187a3de817c	2.9085064116401265	23.2098125
3de/c443b627fcf0f	3.0318622380798717	5.4788125
3df/f658a632f0337	3.3706733850121884	19.6185625
3dc/f56c8d3f5e7f5	3.369076967882351	21.413375
3dd/d56c5af6ab9f1	3.3653438810553413	9.421125
