key	dnsmos	duration
cd0/02c788d5f62c6	3.108202887168323	1.482
cd1/20509a3d9f182	2.98955332818638	2.809
cd2/2d5538cf2a824	1.2365619965357684	1.327375
cd3/d6f9840cb7664	2.170904241118249	4.681875
cd0/d44757630d82f	2.0042672237516044	4.4900625
cd1/480b4e1a8b6f3	2.5631286245952927	3.7465625
cd2/925f3c5fa4059	3.378973405149239	4.37675
cd3/4c65d6b1a0ad8	2.5781239342830355	8.046625
cd0/99816f4efd614	3.1438745070136056	10.6345625
cd1/356fb2288a319	3.1138872715573376	11.9475625
cd2/53179bf715d3b	3.4038078002753096	7.425375
cd3/ffacfa5e58928	1.8912032240448395	0.76825
cd0/2912f9f53f9e7	3.320151969778547	9.692125
cd1/0c11942afddd1	3.23827435604732	7.4184375
cd2/a846d9a9933c9	3.1945554515276227	5.884875
cd3/b462be5273305	2.5930168370179123	26.5541875
cd0/1aa8bf7942d7d	3.155419781990419	4.7918125
cd1/279149f327060	3.3135698857156477	7.9903125
cd2/4f03927b9e6a5	1.080128619479742	2.198875
cd3/f82958f322b9a	2.2565188835855836	1.9235
cd0/bcb2a93f57915	2.146428537087339	1.5370625
cd1/571ed01d3abce	3.076519523248389	5.0970625
cd2/154e3286eb2ee	3.2790539593835115	9.566625
cd3/082491f373bc7	3.3910587493045687	8.738875
cd0/e611147eb5489	3.6127592814304323	8.2399375
cd1/5ded04554ed4c	2.6319728335344563	5.6211875
cd2/570d01c71a153	3.476833524793554	9.6106875
cd3/48022c14a398c	1.4299755689729994	0.9411875
cd0/9bc0243845a32	3.1572024966851475	9.0766875
cd1/5dc37b75c5660	2.5576268389006103	11.5711875
cd2/dec7572d22717	3.206931467505312	7.4176875
cd3/1f81e0260262e	1.098997159360269	2.83725
cd0/6f772c7789829	3.1550216609098047	7.158875
cd1/47150fcd0062e	2.7656182991375635	1.493625
cd2/1c9510eafe0e5	2.829538826675534	14.1590625
cd3/3d1ab83032480	2.6550220094602177	6.29625
cd0/dede209b815b7	3.20282398051068	10.5099375
cd1/d258c1b24691d	2.2255047329553626	2.5469375
cd2/527a2c5418b9a	2.977850152543817	0.9125625
cd3/76d7cce26ac45	3.4099301702445457	4.7500625
cd0/6a087bfd257af	2.5230365295668005	4.8889375
cd1/c2d79c9d8bdc4	2.1125398989715234	2.067125
cd2/85a082674443e	3.2890303021731984	10.85525
cd3/fa7b7553ba847	3.199493622059541	5.7133125
cd0/31a594e8824fe	2.490956839088858	2.25975
cd1/538e465b4d1ce	3.463492083891677	17.7526875
cd2/24cfffeacec40	2.686802591660794	1.69
cd3/b5d538d7094e4	3.429273641944819	12.37
cd0/6f7d2a98a037b	2.6864079888406813	4.28725
cd1/de7789ff43e14	1.3231335589035065	1.83275
cd2/072d23abc29bb	3.287736457263954	6.966625
cd3/1028e430573e5	3.1745803026618735	5.2415
cd0/97b2970b6dc80	2.8287864954165047	16.41525
cd1/5d01143ce9461	2.661000410755024	2.347375
cd2/a3486f4e4e4e5	3.302139110865801	9.3879375
cd3/68e1f2172ae38	2.621317450786156	2.1639375
cd0/5560946376a9c	3.325707350869531	7.3250625
cd1/19fa814813b39	3.134668938780126	4.7263125
cd2/b1939474d4d5d	3.2023052506389975	7.4201875
cd3/951418ee4716c	2.7996166945136856	8.3015
cd0/f48ac4ce3ccab	3.3871769518611794	3.3653125
cd1/b2d6e97185163	3.285824322389655	7.9523125
cd2/163913993b848	3.458439344054259	5.675625
cd3/ab878c2353141	1.8653924990584032	1.0624375
cd0/44644e11f127f	2.3406695217674356	1.489125
cd1/8930e37c2f978	3.482115481638704	8.0404375
cd2/e36e618be65ac	2.6099322034378685	2.204125
cd3/667ce97fa1534	2.880978205695662	7.209625
cd0/50d9b98cdcaed	3.217151613214689	6.2305625
cd1/6fb117c3280e9	2.7476148867064074	5.961
cd2/0b7119a2d773e	3.3637486616328727	2.988625
cd3/5b1a2d263314e	3.312134809191042	9.9355
cd0/1113b0c08fb43	3.3198169316884023	4.9585625
cd1/f778793ef25c2	1.103548072213748	2.589625
cd2/9b700a425ec47	2.284095224577775	1.0088125
cd3/7a41eb5b4b89c	3.040295482600662	4.0394375
cd0/18a9a0c0387bc	2.897326421306491	6.75375
cd1/d261f82f3c3db	3.270224700203292	1.8020625
cd2/8b0fd0d5a3cbd	2.7520401010270503	10.92575
cd3/1758e721246c4	2.7116837875111366	2.6369375
cd0/98957e56c5f7d	3.372548307611513	10.2529375
cd1/c4bb9801a69e8	3.394422076246376	7.0070625
cd2/d43d94eaa7096	3.006498575019147	11.3120625
cd3/e9f7a58eeb114	3.27208922795619	8.7281875
cd0/c6ba0441bca11	2.31504938886271	9.9214375
cd1/813c8eb6322ab	3.198090955811362	7.410125
cd2/11f86e8321ef8	2.9212493632447103	6.5301875
cd3/d6965689e64a6	2.948785608485853	2.0184375
cd0/dc3b1dd58abab	3.3826331698235563	4.1464375
cd1/6ab277fd49b3f	3.4197727788532073	9.30925
cd2/6d2a892609550	2.289002232896759	2.112875
cd3/df4c301a5c94f	2.6284313284369256	13.1468125
cd0/54e1afc96f8c6	3.3898089715371293	11.8246875
cd1/509d1d7acd606	3.41649117885147	14.083875
cd2/846315b802872	1.1206132538211686	2.398125
cd3/1797e1d6d3185	2.046312547791845	5.801375
cd0/c14829e59c95f	2.209081248729848	1.921875
cd1/7bde0b12c3d2b	3.0709463999195123	6.736875
cd2/1b21f4c88d619	2.570917356831305	10.7694375
cd3/70c9c18c5c949	3.5027683328805117	7.3530625
cd0/d212d81c4670e	3.205799547458106	2.5983125
cd1/2c9c03bb89fbc	2.5369923235529113	2.3905
cd2/2ea0b3c9f3ffd	3.395357825731794	3.6479375
cd3/9161e01fc4282	3.133017643941743	3.667375
cd0/b8f13f8cd0bb4	2.2877120049410924	2.3630625
cd1/3490dc5f19012	2.792013300526804	2.1866875
cd2/25b60e087aa7d	1.3013097968477734	1.2835625
cd3/958759cc36b65	2.4944874460496846	4.5879375
cd0/e56fb6898a54e	3.4505268027038065	15.82325
cd1/4fc02b84858ab	2.927740255737336	4.1354375
cd2/1bd499c74fcd1	2.925596207780667	3.41325
cd3/31bf5f916e352	1.8855199378340937	1.5755
cd0/bd4f882ae70fb	3.2347178373652348	6.5204375
cd1/02b6dd4cc607f	3.2581198824649378	3.912375
cd2/54f13a70be7f0	3.0388654694714132	10.3304375
cd3/2342530c0d992	1.9330368270729337	1.394125
cd0/1ae0492bd5f55	2.6758752818052343	10.3280625
cd1/47c80895c39a7	2.1245882417512623	5.9803125
cd2/5bb5b26c3d024	2.188273572851696	2.72825
cd3/c5e9a43d20dd4	2.7072867568633256	5.9740625
cd0/fe56c902a3837	2.519394596631106	4.688
cd1/150a1e887608b	2.4851063288696564	11.8515
cd2/097a4fc20aa89	1.123098401227381	1.9231875
cd3/ba1286e99cba9	3.3354551582035508	9.637125
cd0/1a6d43b888d82	3.176477551089962	3.1374375
cd1/04f0b95d8e339	3.4788436653590433	7.5
cd2/fb68f37ca4822	2.287518432230522	3.3845
cd3/8eed58248d5ce	3.20824901946511	13.6099375
cd0/b34896e6cd325	2.0471943718092196	0.8811875
cd1/eb5e4fbd54654	2.6615422757684244	3.816375
cd2/a3a9b58961f98	2.958010017020019	2.47675
cd3/34a239fe5f4c6	2.4998151471731447	10.3515
cd0/b486db9abbe7e	3.0513218572610006	7.46975
cd1/2176c2942ca98	2.259334159392139	2.1405
cd2/425acb2877ed2	2.990025079608653	12.9373125
cd3/9c7843d6cd9d9	2.990314982372635	4.214625
cd0/4d042620d77a9	3.4673456958906237	10.0528125
