key	dnsmos	duration
a40/73b69ef67bc65	2.648960883892635	4.07275
a41/886da03329d27	1.754419458440089	4.532125
a42/a073966f0997d	3.4261214609904918	7.68775
a43/a21b24fedf740	3.137316890927559	12.3331875
a40/0cada14e462d2	3.4036158118743236	12.9680625
a41/5b6c782f3b898	1.1114938634437912	4.3935625
a42/40697405cd0a4	3.3207819704373343	13.464625
a43/5278d4ee96c4f	2.4257069425811677	5.737125
a40/bb58233a8bbb5	2.6703155813189787	16.5109375
a41/6a3c45f0a58bc	3.1894928633842694	7.1324375
a42/a063816518059	3.3952667938565377	4.3126875
a43/891ea3a3e0068	2.437808995816918	4.3479375
a40/d867f54d91cb3	2.8762052931436926	3.1528125
a41/a74b4944a98f2	3.2691023495106153	14.86975
a42/5be74bad7a283	2.9342607129087597	3.59175
a43/b2f18cce1bdf5	3.2070118415493245	1.571125
a40/2eceb2eb893ef	3.3260953452737914	13.8869375
a41/3ec5d974c3c14	3.371180505054118	12.4621875
a42/5308c0a46995d	2.86370168374555	5.9275625
a43/24e12d70796c9	2.50056098013714	6.42925
a40/8d6365db55317	2.9162028925362797	3.4861875
a41/5976c8aa102cc	3.3868103371843503	2.927
a42/230c04e0a64cf	3.2735912307186794	11.8773125
a43/d7d02c2eb00bc	2.9218636239418982	4.48675
a40/9c25da4c0326e	3.111569731040351	12.19875
a41/a366db409e234	3.3854885430265895	5.9545
a42/ba439a6cbcba9	2.459253746944569	6.7024375
a43/9367c09bfdb59	3.489620882506795	3.5574375
a40/139cf5b87b6af	2.5555815595608413	3.9885
a41/f6f4113b1772d	3.2152928868168984	3.9794375
a42/59208f90effca	2.4331847533233573	1.58975
a43/beddb47328b42	1.0848771011368148	4.51225
a40/66e172a010d1c	2.790992272638651	5.0680625
a41/4fbb722525b2e	1.9693481348022015	0.624
a42/63a7d65b8666f	2.5232864694428017	1.009
a43/bc46c69190f00	1.4489242667545286	3.7113125
a40/6fa58abeb124c	3.3167623697362822	2.2058125
a41/90f5d5ec6e9ee	2.8485077235057457	2.5520625
a42/510c43db2737b	3.331148098900755	7.4188125
a43/0c02e8bbccfe5	2.3824212144122168	3.9125625
a40/e66537e514672	2.964113562306103	1.973125
a41/9db4c253ec958	2.12993194596993	4.6333125
a42/f7eec570a4bd3	2.96362962305141	7.6585
a43/5461f1d74c099	2.9422611400248306	5.9326875
a40/62514c262b763	2.4989464236136434	6.5584375
a41/5779a0c862ac4	2.413778346436564	4.6065
a42/fb9ff94138e7b	3.5164089749399836	11.7006875
a43/f487092f2a794	2.896140185285386	2.077
