key	dnsmos	duration
ab8/acb13cc2ba21a	3.325798488166995	3.8219375
ab9/903c68f52e9bd	2.4874797850931105	9.19275
aba/71db988b47d04	3.295071190539236	7.0305625
abb/58b81bbe47474	2.80738495421409	5.2929375
ab8/6805286e90d58	3.188789205579841	9.4226875
ab9/53c9b66fb13f1	2.655028295799408	5.3515625
aba/798f6364dec09	2.8137238571545407	7.663375
abb/5df2d592f89a2	3.2052246786393797	15.239125
ab8/130a65f871001	2.8852031672724614	1.521375
ab9/d53cc9e1cafca	2.9219117985376006	4.3225
aba/3b4bccf8a4076	2.6490502557329263	6.8714375
abb/690223b6ee32a	2.4062146395408055	2.900875
ab8/2b7d0ba76e975	1.2812476084781736	1.20675
ab9/3e4500b0ab35c	3.158650481900581	2.835
aba/f9343ddaf0460	3.194514060901376	4.5746875
abb/5114a3aa81164	3.2086958154303167	10.9595625
ab8/7ec5c65641267	2.2381607853260665	1.819125
ab9/23248d625a248	1.1425919267077578	4.315875
aba/08f951f68167f	1.9454212555524482	1.207625
abb/e8dc366c29f3d	3.249593905500736	2.19325
ab8/5c1009d65d9bf	2.095426104377581	4.088625
ab9/ba15a05b55fdd	1.1938234575905882	0.672125
aba/4d6bf471d2f91	2.291238104712959	7.16875
abb/5c83a7cbc8f29	2.4259058119634846	3.4311875
ab8/0f995eea7b14e	2.617441010169245	6.6543125
ab9/19e699304f656	3.147115842870053	5.9900625
aba/21e036045f0f8	3.395644830910764	26.4443125
abb/6e4799ba6a82a	3.261913622659295	5.8465
ab8/fa09b3a93c1a0	2.148836798446978	2.9145625
ab9/7eb2c9747e7e5	2.59242016572638	5.7694375
aba/7d16913a84cc8	2.8617680421365392	12.93875
abb/ce397dae89f3c	3.472801024598522	8.437625
ab8/f4693cc000e0f	2.6416624967688067	5.60925
ab9/4c945c28a5fc2	3.4669791339978375	14.533125
aba/ae1644bb9dadb	3.225221494508279	7.82975
abb/d55b0b31092b3	2.720396596793846	5.360625
ab8/a72e8da35cfc8	3.3634656559975533	7.559
ab9/80f38785e9b45	2.714993419914183	2.121875
aba/7ff6e50c694b8	2.6329954822874386	6.36125
abb/d1d5641cf4e69	2.587281257936436	4.2949375
ab8/b67a215044d5b	3.3379023316179377	1.9993125
ab9/5df2ed89beab7	2.148104125697334	14.016
aba/dc5ba6b924eb4	3.3806025599748972	16.05
abb/d48a20a72f4ef	3.0492276996802334	10.580625
ab8/3e796e0937b13	2.7009697514589988	2.186125
ab9/ceba26a706581	2.753876710208022	8.564875
aba/4476955b3c6b2	1.5097443452225552	1.0808125
abb/f7cbf06830f4e	3.316817556241987	3.685
ab8/561a9c8c97023	3.00732350857043	5.7135625
ab9/5290e51b9a360	1.1221328079322859	2.258375
aba/4ab300758a448	2.8013825507989116	2.52525
abb/cdd0da50c54f8	3.404991596576838	6.97025
ab8/3beec0758b6ec	2.4800074574301836	10.3419375
ab9/8ff1f4286cf1f	2.134944000793164	11.225375
aba/c003d1c08ce42	3.1848537150735834	4.323875
abb/dea4da0ac0299	3.1401977627167654	10.629625
ab8/83f0c4108fd28	2.265774595669583	3.2826875
ab9/17b4c9691fee2	2.957294361432728	2.4253125
aba/b0ba881459aba	3.4382519485939085	29.8681875
abb/f4d63a90c37f6	2.6164757068638993	4.6778125
ab8/0a5b27d482205	2.593958167103596	10.759375
ab9/2e2224ad0049f	3.2421358937403078	20.32725
aba/c2d2e7c6cd55f	2.8416116883120264	4.758375
abb/31161d06bcd35	3.386076826636849	8.75975
ab8/16f9dfc0c2cf9	3.0352016780202877	5.3245
ab9/16bbd97087f7b	3.252273843195685	25.90025
aba/2b48049fca1c3	3.550003345091215	10.280125
abb/4a79f9247025b	3.2379179704268863	5.0350625
ab8/d03e79d0a2d59	2.8642996514203256	12.61275
ab9/a60c6198a3957	3.4313750424478267	8.4363125
aba/925d72758daf7	2.1640515760536303	1.8033125
abb/6b56c73245e60	2.4306914563875215	2.2605625
ab8/2c8d1da9df8a4	2.5872833772413784	2.2105
ab9/c1cf7c627ebc6	2.943443263224235	2.3746875
aba/5017eef2b9f0d	2.3335034217375124	2.6388125
abb/69e9bf20aa104	2.451670725918448	9.7396875
ab8/ae708c6b20178	3.346019128407122	11.218
ab9/9045bfdf64f26	3.353215687589226	8.2030625
aba/4027c282bd3f7	3.0444856489920347	5.7413125
abb/7c3477b0961ed	3.4567644191358733	6.5275
ab8/40e1e9b52a54e	2.9878780868709893	2.041625
ab9/e6376db6c7a4d	2.220136879569719	1.7405625
aba/ae32b8be05ee0	3.11726381927655	5.7626875
abb/5112c9b6eae2d	2.708779441797355	3.53075
ab8/2550394b81ad4	3.4155050442313253	8.2755625
ab9/76ae4538a4f12	3.2964214852582665	14.4758125
aba/8bc95fce45e9b	1.8113001246320977	11.304875
abb/0a31a30d03387	2.648484566188133	9.7158125
ab8/d718840fbb60f	2.935992319779199	16.1465625
ab9/2ea89b2398623	3.2096790962850825	2.299375
aba/85f1490737cc5	2.2128479260999265	6.81625
abb/2c579d814223d	3.489222820210569	15.0070625
ab8/998a38612a056	3.226005754336472	13.0763125
ab9/fd55bb45c5cff	3.50818705580082	7.1935
aba/279e43d8d89cf	3.427350527581667	8.789875
abb/1afb2cab56c55	3.0982795594665333	2.890875
ab8/d80a10cd4fa2c	2.8568843756523252	5.5575625
ab9/a11bdd5997ec7	3.2070364660699475	3.9851875
aba/e5264b2013d9e	2.335988411809282	9.577
abb/b091e1e0de19b	3.265478203338878	7.6258125
ab8/544cffdf36df7	3.028717435358668	7.5166875
ab9/b4334d24e5ad7	3.365627918494063	4.147375
aba/8d118141a0110	2.805242867752264	5.0131875
abb/782cb81cea8e7	3.208394109936562	6.8593125
ab8/afb6e4517efaf	3.312446698162259	17.9259375
ab9/e1b612ebc126b	2.6282960072648285	7.4633125
aba/bb8501c7e26c8	3.2771352006800423	8.736375
abb/8f7b6017391da	2.6798349597875832	17.04875
ab8/ea496f4bad43f	2.3434404420097157	2.196375
ab9/2939d6f679573	3.3774033182719205	16.2543125
aba/d9a1b923505f6	2.3145549878113973	4.18725
abb/74382ce8276f8	2.9497152786405683	2.3569375
ab8/b1bf084c3e93c	2.3933214583208042	12.2061875
ab9/ad76f5da03c77	2.712001313015326	4.6201875
aba/bd78330eca355	3.1989027298600385	5.1620625
abb/883e39fb22271	2.282008342410378	1.2979375
ab8/47a52b22c9fbd	2.1144253111696494	1.68275
ab9/3d079c127559e	3.2422896809427764	11.5625
aba/ae3b05f8d30b6	3.3578983842044536	8.60325
abb/264464ceb054f	2.8734139529946745	4.2530625
ab8/d0fba29e057ae	2.98854005427442	7.7815
ab9/ce0c1cc8728da	3.1583295329984966	11.014625
aba/5bc9006526795	2.136925345879511	5.930375
abb/af249f3242714	3.141294824943397	9.1460625
ab8/6bc16073d15ab	3.1874558208260355	10.075125
ab9/cc8f64412bb89	1.9576134606168651	2.887
aba/5ddbbff59a301	1.9444360132751617	2.237
abb/17143d9a372f8	3.0639587114074263	13.994125
ab8/1c424514d2e6f	2.6268269156916366	7.3394375
ab9/311c663b2483c	2.861027947800462	2.0646875
aba/d64b98c9debc6	3.0565026217682734	11.157375
abb/32051b03012fa	2.7370445953165086	3.8468125
ab8/02a19ba5c278b	2.984095126252466	7.8741875
ab9/9d4b2798765b6	2.551728539483808	7.0379375
aba/d7148bae2687d	2.868891324970313	7.602
abb/c2ddd6b32b0f9	3.184872037636629	3.5808125
ab8/2240aeb47d481	2.6993091463213474	8.6746875
ab9/b9c4fea029b59	3.544956373258162	13.5168125
aba/61c0e6809e7b1	2.1569607412695846	2.3608125
abb/cf5c0efaff4d4	3.3647571540644456	9.567125
ab8/92c56d8768155	3.4719373937509066	15.89725
ab9/160eee6a901cd	2.881612685778829	3.7003125
aba/8aa4b09e791d8	2.3181713944488194	7.2768125
abb/1f905ed066b6d	2.52565256801938	3.1048125
ab8/ff30eb61e0b97	2.4608249191984584	6.9134375
ab9/f467d62c963ec	2.2594025074666195	2.7690625
aba/f77d4ce31558a	2.5818103856247316	5.090125
abb/bb22c85da5d2c	3.1703982884382462	4.5676875
ab8/5fd22c25c4770	2.515557251319936	3.6304375
ab9/f931b76f7c7d4	3.34162006771811	16.5396875
aba/303d15c4e1ef5	3.44310608412293	12.16925
abb/2fa69508d7c27	3.166064490822492	10.2571875
ab8/aa7713a60fe15	2.791035755448182	3.6089375
ab9/a0df6c671c1fe	1.8351545729552026	1.86
aba/f742d865f4119	2.546696856245414	4.8473125
abb/dab722fab1bcf	3.2337424402362114	5.5326875
ab8/e326d875964f5	2.9721916508631496	8.1505625
ab9/19198f4112602	3.3379627115816852	7.7623125
aba/a94e6df37a7bd	3.247935995312334	7.551625
abb/2d6743cdfbfb5	2.8751534936348184	2.8184375
ab8/4b2ea8c298bc8	3.4853818643317713	9.0875
ab9/911b6a4c8efc8	2.7460873105008052	4.5084375
aba/94b294aa5a303	3.3228869371530854	9.121375
abb/5629ed616478b	2.5771855481563617	21.992375
ab8/719a58bc7111e	3.0278970019518434	4.854625
ab9/c364f38fc05d5	3.226951388781926	4.492125
aba/24e886d40a181	2.7423889180841723	2.4985625
abb/227d276836311	2.819258857510668	4.8843125
ab8/119edf36e99dc	3.309049916045001	7.8613125
ab9/10bbb543fe670	3.4815943076361435	15.086125
aba/ed6554c11739c	1.6178844092455753	4.76175
abb/7cabbf2a15b90	3.0434959798779864	6.10175
ab8/2b4636a046084	2.7238721985329883	9.8564375
ab9/161d572f7d684	1.8970501437343046	1.2263125
aba/912f76aec2db3	3.104920291006548	4.4088125
abb/78a145cf3ac00	2.8926023873996174	10.163375
ab8/5bb07c802d622	2.971700548708026	11.4588125
ab9/88321c9008cf1	2.7575318384922496	3.0445
aba/ffad760827ee6	2.6029664363755427	3.941875
abb/b3aefb8418aa4	3.410783097743232	8.113875
ab8/2d64c61188993	2.8495550298027035	11.769125
ab9/1cd2dc547dd1f	3.586956253405786	5.223875
aba/17bacb28e7a67	2.9261824206884848	5.398625
abb/3ee9e5ad1f01e	3.233781328631735	3.496125
ab8/5308c7a6965a9	2.5611452728329285	7.846375
ab9/8f954845d7e18	2.6692870242353766	14.7156875
aba/538083798ba10	1.1726036766289705	1.0571875
abb/58eab6fcb4156	3.08664365803	10.8054375
ab8/4dd17a9277166	3.3043700745433946	4.1538125
ab9/0bc77cda1626f	3.044935892920614	18.4325625
aba/1d3d544845b6e	2.00123627062165	2.8298125
abb/9b485debbd70a	2.8574427993479983	18.979875
ab8/3f4e3f7e3e4cb	2.7426095257233998	8.0828125
ab9/07768a187bbd3	3.074251933549	4.4909375
aba/ddf50cec704ce	2.861425271372188	8.06725
abb/0bfe19e7f1ffe	2.1430558351599402	1.0574375
ab8/3d420394ecd36	2.6520642490056616	4.97175
ab9/a4b9bd15e82c6	3.3002174084764064	7.02075
aba/5b53a8e525c90	2.4656056098719517	6.1335625
abb/d1c1bb98e09a2	1.069072759573295	1.30125
ab8/bb7519788de8f	2.689423989038377	8.8686875
ab9/c22eecda469c0	3.363361896808052	11.8091875
aba/f48c8ca2f0c0e	2.9826681633013123	2.2869375
abb/2d28a9569b701	2.2686353213485386	2.402625
ab8/8cb749a72359a	2.938606817145589	3.8878125
ab9/e67f02e02eea4	2.723360593211718	6.852875
aba/5332d48f0ad2f	3.4034452892707767	8.8761875
abb/4cdd2313f0c37	3.0099525530632034	6.855375
ab8/37cb6dbab05b2	2.0194675368589503	1.00875
ab9/2358b2716737f	2.657911824927679	5.525
aba/1c7cb3d44ca3e	2.326215839172619	5.5748125
abb/72e9b92d50950	2.7643046582281174	8.779375
ab8/b51171d94c79a	3.3170453231819588	5.77025
ab9/14364b3f607fe	2.742773502067573	6.445375
aba/6d39e6ef50c38	2.7830320680922807	3.1705
